pid,trial,actual,predicted,prob,top_feature,top_shap
P004,22,accept,accept,0.8114272519206247,offer_amount,0.4133490209114825
P001,23,accept,accept,0.7664021209326948,offer_amount,0.4094762040684145
P005,2,accept,accept,0.8031429849611174,offer_amount,0.403282024350483
P005,3,reject,reject,0.06398724862849357,offer_amount,-0.16819127709914028
P001,1,accept,accept,0.8225447267880233,offer_amount,0.43911848728894254
P003,3,reject,reject,0.08108867453386374,offer_amount,-0.18433675159158155
P003,17,accept,accept,0.9044883868500293,offer_amount,0.35483487641504324
P003,19,accept,accept,0.7643186426745614,rmssd,0.08651051164933961
P001,11,reject,reject,0.0814600065460847,offer_amount,-0.16833596931737702
P003,22,accept,accept,0.9219252798860414,offer_amount,0.37521114518858667
