pid,trial,actual,predicted,prob,top_feature,top_shap
P004,21,accept,reject,0.49740615712113695,mean_eeg_af7_post,0.1282668382371412
P001,23,accept,accept,0.5174236727984797,mean_eeg_af7_post,0.09249895416323853
P005,2,accept,reject,0.46923244483300885,rmssd_post,0.09310990819440121
P005,3,reject,reject,0.2705161489231586,delta_hr,-0.03827497269003288
P001,1,accept,accept,0.6260065570689608,delta_hr,0.1552162126407211
P003,3,reject,reject,0.3102748699549254,rmssd_post,-0.09541261681220022
P003,17,accept,accept,0.5842669306301055,mean_eeg_af7_post,0.10988834752288312
P003,19,accept,accept,0.7129516514218495,mean_eeg_af7_post,0.12058402480934091
P001,11,reject,reject,0.1289340612737063,mean_eeg_af7_post,-0.08401666669278711
P003,22,accept,accept,0.5326683839036884,gsr_change_pct,0.07799872401237735
